gw_code,year,month,recharge_mm_sy02,recharge_mm_sy05,recharge_mm_sy10
1.90805E+14,2022,8,203.6,509.0,1018.0
1.90805E+14,2022,11,0.0,0.0,0.0
1.90805E+14,2023,3,0.0,0.0,0.0
1.90805E+14,2023,5,0.0,0.0,0.0
1.908E+14,2021,11,0.0,0.0,0.0
1.908E+14,2022,1,0.0,0.0,0.0
1.908E+14,2022,5,0.0,0.0,0.0
1.908E+14,2022,8,50.400000000000006,126.00000000000003,252.00000000000006
1.908E+14,2022,11,0.0,0.0,0.0
1.908E+14,2023,3,0.0,0.0,0.0
1.908E+14,2023,5,1.800000000000014,4.5000000000000355,9.000000000000071
1.91005E+14,2021,11,0.0,0.0,0.0
1.91005E+14,2022,1,0.0,0.0,0.0
1.91005E+14,2022,5,0.0,0.0,0.0
1.91005E+14,2022,8,114.0,285.0,570.0
1.91005E+14,2022,11,0.0,0.0,0.0
1.91005E+14,2023,3,0.0,0.0,0.0
1.91005E+14,2023,5,0.0,0.0,0.0
1.91222E+14,2021,11,0.0,0.0,0.0
1.91222E+14,2022,1,48.0,120.0,240.0
1.91222E+14,2022,5,0.0,0.0,0.0
1.91222E+14,2022,11,206.0,515.0,1030.0
1.91222E+14,2023,3,0.0,0.0,0.0
1.91222E+14,2023,5,0.999999999999996,2.4999999999999902,4.9999999999999805
1.91422E+14,2021,11,0.0,0.0,0.0
1.91422E+14,2022,1,0.999999999999996,2.4999999999999902,4.9999999999999805
1.91422E+14,2022,5,16.999999999999993,42.499999999999986,84.99999999999997
1.91422E+14,2022,8,44.0,110.00000000000001,220.00000000000003
1.91422E+14,2022,11,0.0,0.0,0.0
1.91422E+14,2023,3,14.000000000000004,35.00000000000001,70.00000000000001
1.91422E+14,2023,5,0.0,0.0,0.0
1.91615E+14,2021,11,0.0,0.0,0.0
1.91615E+14,2022,1,0.0,0.0,0.0
1.91615E+14,2022,5,0.0,0.0,0.0
1.91615E+14,2022,8,72.0,180.0,360.0
1.91615E+14,2022,11,16.999999999999993,42.499999999999986,84.99999999999997
1.91615E+14,2023,3,0.0,0.0,0.0
1.91615E+14,2023,5,0.0,0.0,0.0
1.91E+14,2021,11,0.0,0.0,0.0
1.91E+14,2022,1,0.0,0.0,0.0
1.91E+14,2022,8,22.0,55.00000000000001,110.00000000000001
1.91E+14,2022,11,0.0,0.0,0.0
1.91E+14,2023,3,0.0,0.0,0.0
1.91E+14,2023,5,0.0,0.0,0.0
CGWBNG0540,2023,7,18.59999999999998,46.49999999999995,92.9999999999999
CGWBNG0540,2023,8,19.650000000000006,49.125000000000014,98.25000000000003
CGWBNG0540,2023,9,10.549999999999992,26.37499999999998,52.74999999999996
CGWBNG0540,2023,10,29.06666666666664,72.6666666666666,145.3333333333332
CGWBNG0540,2023,11,27.966666666666647,69.91666666666661,139.83333333333323
CGWBNG0540,2023,12,22.69999999999998,56.74999999999995,113.4999999999999
CGWBNG0540,2024,1,24.249999999999993,60.624999999999986,121.24999999999997
CGWBNG0540,2024,2,19.216666666666647,48.041666666666615,96.08333333333323
CGWBNG0540,2024,3,21.349999999999994,53.374999999999986,106.74999999999997
CGWBNG0540,2024,4,2.350000000000008,5.87500000000002,11.75000000000004
CGWBNG0540,2024,5,22.999999999999993,57.499999999999986,114.99999999999997
CGWBNG0540,2024,6,19.43333333333333,48.58333333333332,97.16666666666664
CGWBNG0540,2024,7,16.08333333333331,40.20833333333328,80.41666666666656
CGWBNG0540,2024,8,18.205000000000005,45.51250000000001,91.02500000000002
CGWBNG0540,2024,9,16.64999999999999,41.62499999999998,83.24999999999996
CGWBNG0540,2024,10,12.525000000000004,31.31250000000001,62.62500000000002
CGWBNG0540,2024,11,12.784999999999968,31.96249999999992,63.92499999999984
CGWBNG0540,2024,12,14.03999999999998,35.09999999999995,70.1999999999999
CGWBNG0540,2025,1,10.999999999999998,27.499999999999996,54.99999999999999
CGWBNG0540,2025,2,14.426666666666653,36.066666666666634,72.13333333333327
CGWBNG0540,2025,3,13.121666666666664,32.80416666666666,65.60833333333332
CGWBNG0540,2025,4,17.695,44.237500000000004,88.47500000000001
CGWBNG0540,2025,5,17.879999999999967,44.69999999999992,89.39999999999984
CGWBNG0540,2025,6,18.249999999999986,45.624999999999964,91.24999999999993
CGWBNG0540,2025,8,2.030000000000002,5.075000000000005,10.15000000000001
CGWBNG0540,2025,9,6.76833333333332,16.920833333333302,33.841666666666605
CGWBNG0586,2023,10,0.350000000000006,0.875000000000015,1.75000000000003
CGWBNG0586,2023,11,8.049999999999963,20.12499999999991,40.24999999999982
CGWBNG0586,2023,12,4.449999999999974,11.124999999999934,22.24999999999987
CGWBNG0586,2024,1,2.049999999999994,5.124999999999985,10.24999999999997
CGWBNG0586,2024,3,18.499999999999993,46.24999999999998,92.49999999999996
CGWBNG0586,2024,4,34.599999999999966,86.49999999999991,172.99999999999983
CGWBNG0586,2024,5,6.949999999999994,17.374999999999986,34.74999999999997
CGWBNG0586,2024,6,1.5166666666666342,3.791666666666585,7.58333333333317
CGWBNG0586,2024,7,0.0,0.0,0.0
CGWBNG0586,2024,8,0.0,0.0,0.0
CGWBNG0586,2024,9,0.949999999999988,2.37499999999997,4.74999999999994
CGWBNG0586,2024,10,3.799999999999968,9.49999999999992,18.99999999999984
CGWBNG0586,2024,11,10.999999999999966,27.499999999999915,54.99999999999983
CGWBNG0586,2024,12,9.749999999999979,24.374999999999947,48.74999999999989
CGWBNG0586,2025,1,7.59999999999998,18.99999999999995,37.9999999999999
